,method,insert mean,insert std,delete mean,delete std,irof mean,irof std
0,lime_1,0.7194964051080699,0.27330047570221444,0.3276732527666578,0.24659109392686984,0.676191200325425,0.24004508376151715
1,lime_2,0.797785424990692,0.31209637170001103,0.22961666463139682,0.23306955801863172,0.7452484046514335,0.23600250082822122
2,lime_3,0.5407996389680373,0.39818719811367626,0.2702566023832038,0.29524659740615483,0.6023842145168539,0.27524423008086174
3,mean,0.7535484776857727,0.3238532049416735,0.2113259713600929,0.21869998062507287,0.7432972144921945,0.22839375711397286
4,variance,0.7241374673868439,0.3401185756586005,0.23719085687501318,0.24171892044779697,0.7270005988686188,0.242488711220131
5,rbm,0.20440797944399072,0.2280990728841674,0.6998423317785138,0.36838461580789605,0.23206338970822635,0.2932728186433731
6,flipped_rbm,0.700626509105152,0.36855620228685787,0.20379784551842442,0.22827077965940876,0.7348786220207457,0.23999210345411262
7,rbm_flip_detection,0.6981912392007027,0.3698072413148971,0.2062176741195245,0.23147068821101863,0.7322478646371015,0.2432072225344423
8,rbm_ideal,0.7042681457063323,0.36638626317615086,0.2001321183020579,0.22375158348571555,0.7442053185791676,0.22780611520010086
