,method,insert mean,insert std,delete mean,delete std,irof mean,irof std
0,gradientshap,0.6153982383561153,0.4279226692860358,0.22434483061287114,0.29401445000351134,0.7059189130029999,0.24770201075855622
1,deeplift,0.6150936389059622,0.4260696947574792,0.23215443241682987,0.29627842141237515,0.7188556083208459,0.23937392999011725
2,lime,0.7893941209010816,0.31507036511618897,0.23313677204453415,0.23039560096955497,0.7474379958200602,0.22713799588126873
3,saliency,0.4995388159523554,0.34858416580865403,0.3686936121042034,0.33335885900347495,0.6010109338456269,0.2691941735260921
4,smoothgrad,0.6010697494511432,0.2634615020309954,0.3855563603962097,0.2995960774641235,0.5932745454603712,0.2817742697635637
5,integrated_gradients,0.6591714908717284,0.4299152353159061,0.19736974216293823,0.27305058766688434,0.7385638508655642,0.22915758181833476
6,guidedbackprop,0.5415033357411094,0.3750421153392148,0.49038375014768293,0.3739465779933106,0.6230740130451572,0.2696062971658619
7,gray_image,0.5208362064303264,0.32486371910705414,0.5285944603982574,0.34243334490671745,0.4532096323293991,0.3148341117685289
8,mean,0.7972163519183565,0.33238481924650426,0.25421433328723003,0.28612501836759346,0.6787169082403453,0.2703951454548336
9,variance,0.5682057441428642,0.35428456697489563,0.4521880447125981,0.31580421221996424,0.5824369421124784,0.2969355352005242
10,rbm,0.18811612558690008,0.25184277764753465,0.7631901734036496,0.3743465995403325,0.1727161959455347,0.2391412793599276
11,flipped_rbm,0.763959059626374,0.3742774992281063,0.18738321580169118,0.25193241783872933,0.7446025481441753,0.22878236617558834
12,rbm_flip_detection,0.7537740594020789,0.3784866298170625,0.1975672156671579,0.26799928714795956,0.7349144524855696,0.24350190541515657
13,rbm_ideal,0.7664100273672123,0.37405662370948667,0.1849305148107825,0.24656919428310758,0.7475679883645258,0.22183109237371187
