,method,insert mean,insert std,delete mean,delete std,irof mean,irof std
0,gradientshap,0.6045982364859644,0.41128510406763735,0.22276815193646618,0.290398692234018,0.7065474567882384,0.2448975941321204
1,deeplift,0.6193395056390923,0.41599069611916806,0.22448226110696598,0.2888877938949499,0.7216834603118482,0.23406990343386486
2,lime,0.7965044074395694,0.31097710671515494,0.230775789184733,0.23302781255185606,0.7492706086501287,0.23053072110802802
3,saliency,0.5027872343110822,0.34611276192329005,0.3626081389400349,0.32338418019219833,0.6055764577714181,0.263473351836565
4,smoothgrad,0.6110776892885784,0.2612156568702192,0.3818535380770627,0.29643790008258764,0.6013686784706597,0.28027298338769724
5,integrated_gradients,0.6603920047818438,0.417267282984862,0.1904775510158831,0.2695922880443678,0.7370924741973177,0.23051192212248178
6,guidedbackprop,0.5423328452205901,0.37075245636782656,0.4955282800216121,0.36147549182232075,0.6150833667564453,0.27183548392184165
7,gray_image,0.515086136576619,0.33016171215485585,0.5319542394845523,0.3387600925954595,0.4467261178416776,0.316082622108596
8,mean,0.8018659967940961,0.3216907575043841,0.24630298768092534,0.2748275787811866,0.6809421918947922,0.26473488757557856
9,variance,0.5691946637144975,0.3532130729192537,0.44405651273703717,0.3074690866993013,0.5849986904002861,0.2969818373381385
10,rbm,0.19939936070488284,0.25477281391659207,0.7926207231774185,0.34473803484845583,0.1832509926675641,0.24059139464542084
11,flipped_rbm,0.7934026884269769,0.34466692163301793,0.19867427861865222,0.25489033378073206,0.7271729716946765,0.23757704083540496
12,rbm_flip_detection,0.7903118537136524,0.347467594290325,0.20176445996979217,0.25823171564059694,0.7240096370129816,0.2410555927936924
13,rbm_ideal,0.7947003926285636,0.3446269304432382,0.19737452896818986,0.25189067583787444,0.7307118979435427,0.23080347140422486
