,method,insert mean,insert std,delete mean,delete std,irof mean,irof std
0,gradientshap,0.6185506718173804,0.4281735416299406,0.2181107714965497,0.2868499671531696,0.712388239579358,0.24390333254812702
1,deeplift,0.6187003176956198,0.43068556866278745,0.22707261471013798,0.2965838744443345,0.7192843776460014,0.238685826435599
2,lime,0.8020711380566874,0.31990670259467846,0.22686009149064354,0.2315075477710083,0.7547822217833065,0.2283796244346646
3,saliency,0.493055682413509,0.34634031150419675,0.362253701709924,0.3239359990523647,0.6003516027847322,0.2692131668382617
4,smoothgrad,0.5937096738253453,0.2580828961743849,0.37894132588420554,0.298675659772139,0.5950408902349024,0.28655717448805135
5,integrated_gradients,0.66152065867531,0.4311218762383144,0.18808569758603044,0.26547945560569214,0.7383317265630809,0.23034952466984543
6,guidedbackprop,0.5388783584730773,0.37899111630117116,0.4930686940092965,0.3741980623375361,0.6177943444234069,0.27294925007103515
7,gray_image,0.5077610109216341,0.32598457768490596,0.5250221534574354,0.33812236706411475,0.44957994552560576,0.31429122952995986
8,mean,0.7971818885754265,0.32768107234525795,0.24584177773788696,0.2808227192023009,0.6837857556265707,0.2655694599399105
9,variance,0.5459031563502226,0.3539919405251042,0.4598174521847916,0.2988257023675313,0.5836244008480995,0.2993258104729734
10,rbm,0.20060603559440987,0.2613194802518018,0.7852355729942725,0.35563267659554276,0.18265589601932114,0.23908440176815213
11,flipped_rbm,0.7860232196330365,0.355554245205812,0.19988355225843701,0.26146398337120746,0.7230910043817126,0.2455914936076107
12,rbm_flip_detection,0.785151726592799,0.3561803858503478,0.20075492884655846,0.2625582031849666,0.7221848534460291,0.24670713360023896
13,rbm_ideal,0.7871803499761562,0.3547523097876262,0.1987258158589454,0.25995136918005574,0.7277039705258458,0.23782687180133974
