,method,insert mean,insert std,delete mean,delete std,irof mean,irof std
0,gradientshap,0.6059253439573065,0.4163411271593448,0.21552591969231638,0.2812789851768942,0.7130397128033278,0.24133047915346714
1,deeplift,0.6120505024141647,0.4094617898721832,0.21882517299288376,0.2871699861064391,0.7229313952251791,0.2331832591338333
2,lime,0.7969236995692304,0.3067469696756228,0.22341989321387107,0.22213145582908192,0.7509213726690933,0.2287135429883346
3,saliency,0.49712243522426597,0.3411151620045354,0.3569637478239404,0.31343409366901925,0.6102886389179282,0.26178548708680555
4,smoothgrad,0.6031182527222558,0.2557017171698001,0.3723914201706275,0.28371388581298357,0.6028918626216939,0.27228085123978374
5,integrated_gradients,0.6503331795428848,0.4104550372024772,0.18519599778149842,0.25927789585001915,0.7428507153963413,0.22475833293508327
6,guidedbackprop,0.5390063004012376,0.37200757535042256,0.47851880050020607,0.358758913097041,0.6301122519066443,0.2650808859518853
7,gray_image,0.5205876259103596,0.3234316029102838,0.52187723561148,0.3341196983346187,0.45492616639337147,0.3131238841476659
8,mean,0.795770630446295,0.3172771226004014,0.24058665932367215,0.2727681486111568,0.6842912119138349,0.25963601949569076
9,variance,0.563689208151495,0.347944528282567,0.4427820274589096,0.3126623144484002,0.5950211004464773,0.2878402708789817
10,rbm,0.17748415672815124,0.23928109083550156,0.7706277846262092,0.3629463834086816,0.17988469370368698,0.2370836551917782
11,flipped_rbm,0.771419422430488,0.36289800630429336,0.17674165727182098,0.23936434374076584,0.7503996413432931,0.22649856971494717
12,rbm_flip_detection,0.7601783243968507,0.37039618445933414,0.18798203538364996,0.25474807904761093,0.7400508419021782,0.23937634496240198
13,rbm_ideal,0.7730038633055125,0.3618634409460848,0.17515519360028448,0.2369728954617354,0.7534355095714349,0.2206950480024563
