,method,insert mean,insert std,delete mean,delete std,irof mean,irof std
0,gradientshap,0.6186412776271495,0.4281044936908306,0.23589164732780402,0.2991688850612116,0.703103623494962,0.24758598000675458
1,deeplift,0.6300669130412943,0.42988793093157507,0.24233398660700903,0.31196428889645117,0.7099528905009999,0.24287776200768602
2,lime,0.8036369684393834,0.31150018263832047,0.23455787423845154,0.23697115536399493,0.742917137340859,0.2342457056583739
3,saliency,0.5017250945272814,0.34583123920266373,0.3778264935311007,0.3269915224893816,0.5947470349159257,0.26992905787960814
4,smoothgrad,0.6003097076931208,0.2549491036424928,0.3917031492911228,0.29561708695596023,0.5848874394608974,0.2836344618384183
5,integrated_gradients,0.6671055200041055,0.42967917040419457,0.20163815322467668,0.28054229194698493,0.7325115201144579,0.232798115555731
6,guidedbackprop,0.5533017490983846,0.3793729256528202,0.49301455124386073,0.3721012989692101,0.613765322803846,0.2700998233368437
7,gray_image,0.5260414467204536,0.322201561285355,0.530364620078651,0.33361535191187325,0.45158667574119293,0.30963758569483063
8,mean,0.804469420461822,0.3339449588857113,0.26096344222795687,0.2910674357162894,0.6739706079271177,0.26322934297140765
9,variance,0.5605579480761028,0.35698194305460773,0.4643456939592356,0.3052184240784963,0.5754905761018011,0.3014124351131909
10,rbm,0.2003712223944855,0.26018370038241156,0.797809987910965,0.3711501813374726,0.17260571899711705,0.24970120509496768
11,flipped_rbm,0.7985901878691488,0.3710890766364766,0.1996398476126911,0.2602748218067787,0.7335827821352406,0.22925075149218108
12,rbm_flip_detection,0.7885877176715119,0.37896784888213564,0.20964178661525096,0.2712878397526597,0.724900953333486,0.2378743754182925
13,rbm_ideal,0.7995816661522603,0.37060406552902153,0.19864702363824743,0.2586761805738798,0.7360694854001263,0.2234123236354616
